date,headline,url,summary,year,month,day
2021-10-09 17:51:00,Ο Δ. Κουφοντίνας προσέφυγε στο Ανώτατο Ειδικό Δικαστήριο,https://www.documentonews.gr/article/o-d-koyfontinas-prosefyge-sto-anotato-eidiko-dikastirio/, Στο Ανώτατο Ειδικό Δικαστήριο (ΑΕΔ) προσέφυγε ο Δημήτρης Κουφοντίνας προκειμένου… ,2021,10,09
2021-08-19 16:39:00,Αίτηση αποφυλάκισης κατέθεσε ο Δημήτρης Κουφοντίνας,https://www.documentonews.gr/article/aitisi-apofylakisis-katethese-o-dimitris-koyfontinas/, Αίτηση αποφυλάκισης για υφ’ορων απόλυση κατέθεσε τη Δευτέρα στη διοίκηση… ,2021,08,19
2021-07-31 13:48:00,Επανόρθωσε το MEGA τα fake news κατά ΣΥΡΙΖΑ για τον Κουφοντίνα (Video),https://www.documentonews.gr/article/epanorthose-to-mega-ta-fake-news-kata-syriza-gia-ton-koyfontina-video/, Ανασκεύασε το MEGA τη ψευδή είδηση που μεταδόθηκε πως ο… ,2021,07,31
2021-04-23 15:20:00,Το ΣτΕ απέρριψε το αίτημα Κουφοντίνα για ακύρωση της απόφασης Νικολάου,https://www.documentonews.gr/article/to-ste-aperripse-to-aitima-koyfontina-gia-akyrosi-tis-apofasis-nikolaoy/," Η Ολομέλεια του Συμβουλίου της Επικρατείας, απέρριψε, όπως ήταν αναμενόμενο,… ",2021,04,23
2021-09-04 19:25:00,Επέστρεψε στις φυλακές Δομοκού ο Κουφοντίνας,https://www.documentonews.gr/article/epestrepse-stis-fylakes-domokoy-o-koyfontinas/, Στις φυλακές Δομοκού μεταφέρθηκε σήμερα το μεσημέρι ο Δημήτρης Κουφοντίνας… ,2021,09,04
2021-08-04 15:48:00,Γιατροί του Κουφοντίνα: Πρέπει να μεταφερθεί σε κέντρο αποκατάστασης,https://www.documentonews.gr/article/giatroi-toy-koyfontina-prepei-na-metaferthei-se-kentro-apokatastasis/, Με ανακοίνωσή τους οι γιατροί του Δημήτρη Κουφοντίνα επισημαίνουν την… ,2021,08,04
2021-02-04 15:12:00,Στην Ολομέλεια του ΣτΕ το θέμα της μεταγωγής Κουφοντίνα στις φυλακές Δομοκού,https://www.documentonews.gr/article/stin-olomeleia-toy-ste-to-thema-tis-metagogis-koyfontina-stis-fylakes-domokoy/, Στην Ολομέλεια του Συμβουλίου της Επικρατείας εξετάστηκε σήμερα το ζήτημα… ,2021,02,04
2021-03-23 16:39:00,"Εκτός ΜΕΘ ο Κουφοντίνας – «Βελτιωμένη η κατάστασή του», σύμφωνα με τους γιατρούς",https://www.documentonews.gr/article/ektos-meth-o-koyfontinas-veltiomeni-i-katastasi-toy-symfona-me-toys-giatroys/," Βγήκε από τη ΜΕΘ του Νοσοκομείου Λαμίας ο Δημήτρης Κουφοντίνας,… ",2021,03,23
2021-03-21 22:21:00,Γιατροί Κουφοντίνα: Η κατάσταση της υγείας του παραμένει σοβαρή,https://www.documentonews.gr/article/giatroi-koyfontina-h-katastasi-tis-ygeias-toy-paramenei-sovari/," Μετά τη λήξη της απεργίας πείνας διάρκειας 65 ημερών, έχει… ",2021,03,21
2021-03-17 15:41:00,Απέρριψε το αίτημα του Δημήτρη Κουφοντίνα το ΣτΕ ως αναρμόδιο,https://www.documentonews.gr/article/aperripse-to-aitima-toy-dimitri-koyfontina-to-ste-os-anarmodio/, Απορρίφθηκε σήμερα Τετάρτη από το Συμβούλιο της Επικρατείας λόγω έλλειψης… ,2021,03,17
2021-03-15 06:00:00,Υπόθεση Κουφοντίνα: Το αίμα στα χέρια τους,https://www.documentonews.gr/article/ypothesi-koyfontina-to-aima-sta-xeria-toys/, Αποφάσεις-όνειδος για ευνομούμενο κράτος από τη Σοφία Νικολάου και την… ,2021,03,15
2021-03-14 14:05:00,Σταματά την απεργία πείνας ο Δημήτρης Κουφοντίνας,https://www.documentonews.gr/article/stamata-thn-apergia-peinas-o-dhmhtrhs-koyfontinas/," Σύμφωνα με τη συνήγορό του Ιωάννα Κούρτοβικ, ο Δημήτρης Κουφοντίνας,… ",2021,03,14
2021-03-13 22:25:00,Έργο Μητσοτάκη με επιστασία Χρυσοχοΐδη: Eλλάδα του κλότσου και του μπάτσου – Στο Documento που κυκλοφορεί – μαζί με το Docville,https://www.documentonews.gr/article/ergo-mhtsotakh-me-epistasia-xrysoxoidh-ellada-toy-klotsoy-kai-toy-mpatsoy-sto-documento-poy-kykloforei-mazi-me-to-docville/, Η συνέντευξη του νεαρού που ξυλοκόπησαν στη Νέα Σμύρνη: «Η… ,2021,03,13
2021-03-13 09:40:00,Γιατροί Δημήτρη Κουφοντίνα: Οριακή η κατάστασή της υγείας του – Απαιτείται πολιτική λύση,https://www.documentonews.gr/article/giatroi-dhmhtrh-koyfontina-oriakh-h-katastash-ths-ygeias-toy-apaiteitai-politikh-lysh/, Οριακή και πάρα πολύ κρίσιμη είναι η κατάσταση υγείας του… ,2021,03,13
2021-11-03 14:40:00,Απορρίφθηκαν από την Κεντρική Επιτροπή Μεταγωγών τα αιτήματα του απεργού πείνας Δ. Κουφοντίνα,https://www.documentonews.gr/article/aporrifthhkan-apo-thn-kem-ta-aithmata-toy-apergoy-peinas-d-koyfontina/, Με ένα απαράδεκτο σκεπτικό που πλήττει βάναυσα το πνεύμα του… ,2021,11,03
2021-10-03 15:14:00,Υπόθεση Κουφοντίνα: Παρατείνεται το βασανιστήριο όσο η ΚΕΜ αδιαφορεί και δεν συνεδριάζει,https://www.documentonews.gr/article/ypothesh-koyfontina-parateinetai-to-basanisthrio-oso-h-kem-adiaforei-kai-den-synedriazei/," Μετά και το Συμβούλιο της Επικρατείας, που δήλωσε και αυτό… ",2021,10,03
2021-09-03 17:12:00,Δημόσια επιστολή 36 δικηγόρων για το θέμα της μεταγωγής Κουφοντίνα,https://www.documentonews.gr/article/dhmosia-epistolh-36-dikhgorwn-gia-to-thema-ths-metagwghs-koyfontina/," Με ανοιχτή επιστολή, την οποία υπογράφουν 36 δικηγόροι και νομικοί,… ",2021,09,03
